School_code,Attendance,Enrollment,New_student,Withdrawals,African_American,White,Asian,Latino,Other,Pacific_Islander,Low_income_family,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME,Drugs,Morals,Assaults,Weapons,Thefts,Total_suspensions,One_suspension,Two_suspensions,Three_suspensions,Three_plus_suspensions,Teacher_attendance,Special_education,Gifted_education,English_second_language,Average_salary
1280,97,553,30,22,36,34,15,7,9,0,48,PENN ALEXANDER SCHOOL,PENN ALEXANDER SCHOOL,4209 SPRUCE ST.,19104,NA,PHILADELPHIA,PA,2158235465,0,8,www.philasd.org/schools/pennalexander,ELEMENTARY SCHOOL,0,0,1,0,0,5,4,0,0,0,97,6,2,7,75518
1290,94,625,66,49,96,1,1,1,2,0,90,ANDREW HAMILTON SCHOOL,"HAMILTON, ANDREW SCHOOL",5640 SPRUCE ST.,19139,NA,PHILADELPHIA,PA,2154712911,0,8,www.philasd.org/schools/hamilton,ELEMENTARY SCHOOL,0,1,12,2,0,71,50,15,4,2,95,13,2,0,67028
1300,94,471,72,41,95,1,0,2,3,0,93,A. D. HARRINGTON SCHOOL,"HARRINGTON, AVERY D. SCHOOL",5300 BALTIMORE AVE.,19143,NA,PHILADELPHIA,PA,2154712914,0,6,www.philasd.org/schools/harrington,ELEMENTARY SCHOOL,0,0,11,2,0,32,18,6,4,4,96,10,0,0,68102
1330,91,752,109,81,96,0,0,1,2,0,91,SAMUEL B HUEY SCHOOL,"HUEY, SAMUEL B. SCHOOL",5200 PINE ST.,19143,NA,PHILADELPHIA,PA,2154712901,0,8,,ELEMENTARY SCHOOL,0,0,12,3,0,148,94,30,10,14,94,10,0,1,61148
1340,94,404,51,34,86,1,7,1,4,0,90,HENRY C. LEA SCHOOL,"LEA, HENRY C.",4700 LOCUST ST.,19139,NA,PHILADELPHIA,PA,2154712915,0,8,www.philasd.org/schools/lea,ELEMENTARY SCHOOL,1,0,7,2,0,51,35,9,4,2,95,12,0,14,60662
1350,92,519,75,64,98,0,0,0,1,0,91,W C LONGSTRETH SCHOOL,"LONGSTRETH, WILLIAM C. SCHOOL",5700 WILLOWS AVE.,19143,NA,PHILADELPHIA,PA,2157272158,0,8,www.philasd.org/schools/longstreth,ELEMENTARY SCHOOL,1,0,6,4,1,50,28,13,4,4,93,11,0,1,73193
1360,90,332,54,46,95,1,0,2,2,0,94,MORTON MCMICHAEL SCHOOL,"MC MICHAEL, MORTON SCHOOL",3543 FAIRMOUNT AVE.,19104,NA,PHILADELPHIA,PA,2158238205,0,8,www.philasd.org/schools/mcmichael,ELEMENTARY SCHOOL,0,2,15,3,0,85,48,18,9,10,95,14,0,0,70148
1370,93,536,92,62,96,1,0,1,2,0,93,S. WEIR MITCHELL,MITCHELL ELEMENTARY SCHOOL,5500 KINGSESSING AVE.,19143,NA,PHILADELPHIA,PA,2157272160,0,5,,ELEMENTARY SCHOOL,0,0,8,2,0,33,26,6,2,0,96,9,0,1,66639
1380,93,789,112,95,88,1,5,2,3,0,90,THOMAS G MORTON SCHOOL,"MORTON, THOMAS G. SCHOOL",2501 S. 63RD ST.,19142,NA,PHILADELPHIA,PA,2157272164,0,5,www.philasd.org/schools/morton,ELEMENTARY SCHOOL,1,0,12,2,0,91,64,17,6,4,94,12,0,11,65682
1390,95,239,20,14,76,14,4,1,6,0,65,SAMUEL POWEL SCHOOL,"POWEL, SAMUEL SCHOOL",301 N. 36TH ST.,19104,NA,PHILADELPHIA,PA,2158238201,0,4,www.philasd.org/schools/powel,ELEMENTARY SCHOOL,0,0,2,0,0,6,4,2,0,0,94,5,6,2,77700
